participant_id,latitude,longitude,time,act_speed
0,475245.596659,4974049.111000,0.000000,13.167955
0,475265.487272,4974110.687660,10.000000,14.271846
0,475281.327507,4974165.836950,18.000000,12.327262
0,475299.072352,4974223.756130,28.000000,12.124313
0,475323.038941,4974278.318750,38.000000,12.262117
0,475353.388416,4974330.412970,48.000000,12.825131
0,475380.155179,4974374.522810,56.000000,13.538651
0,475416.851136,4974414.817660,64.000000,15.246888
0,475454.131440,4974463.553130,72.000000,15.273612
0,475475.818215,4974521.013350,80.000000,14.627013
0,475484.327663,4974579.190600,88.000000,14.170624
0,475493.066490,4974635.478500,96.000000,13.408223
0,475511.096643,4974686.287590,104.000000,14.160686
0,475537.333051,4974736.843190,112.000000,13.587121
0,475561.511283,4974785.851540,120.000000,13.642679
0,475583.563076,4974836.090050,128.000000,12.232994
0,475601.538024,4974893.453770,138.000000,10.807003
0,475615.108249,4974954.722380,150.000000,12.788208
0,475625.603122,4975016.669260,160.000000,11.917910
0,475632.137776,4975074.854260,170.000000,8.214179
0,475670.772673,4975086.926950,180.000000,10.079620
0,475710.654010,4975094.773820,188.000000,7.675036
0,475735.997273,4975139.557090,202.000000,11.263741
0,475718.124829,4975191.947090,212.000000,11.587075
0,475697.177265,4975244.904260,222.000000,8.556561
0,475697.237049,4975302.225220,236.000000,10.923570
0,475680.306820,4975353.167630,246.000000,10.982715
0,475641.484711,4975374.421880,254.000000,11.402010
0,475600.689710,4975395.572790,262.000000,14.382066
0,475586.462877,4975451.615190,270.000000,17.372013
0,475555.622418,4975496.390110,276.000000,16.961196
0,475534.661085,4975545.126580,282.000000,14.291776
0,475527.619493,4975602.141460,290.000000,11.379464
0,475522.545579,4975657.815780,300.000000,11.177567
0,475484.525964,4975681.956220,308.000000,12.714466
0,475444.672279,4975680.442670,314.000000,13.104068
0,475404.301662,4975688.151630,320.000000,13.066630
0,475365.849667,4975702.296540,326.000000,13.382672
0,475327.169260,4975718.553240,332.000000,14.097289
0,475283.675015,4975755.046730,340.000000,14.478035
0,475238.287995,4975791.658920,348.000000,13.713891
0,475200.492748,4975812.134300,354.000000,13.680771
0,475158.147632,4975819.074860,360.000000,12.902367
0,475118.730682,4975828.226080,366.000000,11.786848
0,475073.228048,4975814.517150,374.000000,13.211586
0,475020.489885,4975806.946610,382.000000,13.153916
0,474979.311544,4975809.551380,388.000000,13.407552
0,474937.254851,4975809.493750,394.000000,13.153679
0,474896.514254,4975802.988140,400.000000,13.106294
0,474855.406981,4975803.593840,406.000000,13.172271
0,474815.122410,4975812.750340,412.000000,14.150958
0,474774.397803,4975830.351490,418.000000,13.746336
0,474734.940723,4975869.165670,426.000000,13.936712
0,474728.769302,4975924.845030,434.000000,13.936813
0,474742.712714,4975979.111940,442.000000,13.682264
0,474761.852863,4976030.692280,450.000000,13.937147
0,474779.972691,4976083.720830,458.000000,13.693037
0,474792.965477,4976137.213990,466.000000,14.004244
0,474795.445481,4976205.967600,476.000000,14.039906
0,474778.457368,4976259.801060,484.000000,14.803996
0,474752.394986,4976313.337090,492.000000,14.597067
0,474737.312462,4976370.051440,500.000000,14.229349
0,474734.224216,4976427.162810,508.000000,14.294999
0,474736.186670,4976484.587510,516.000000,14.138870
0,474738.512036,4976554.008290,526.000000,13.864785
0,474744.490134,4976609.417570,534.000000,14.220244
0,474751.420115,4976666.156160,542.000000,14.689971
0,474760.171085,4976724.553900,550.000000,14.312082
0,474772.148152,4976780.828260,558.000000,14.010391
0,474789.163991,4976834.527770,566.000000,13.609715
0,474807.433491,4976886.111720,574.000000,13.690614
0,474832.556088,4976935.113740,582.000000,14.234637
0,474860.679597,4976984.992780,590.000000,14.511629
0,474892.978987,4977033.633580,598.000000,13.522572
0,474926.517464,4977076.493110,606.000000,13.443251
0,474961.076254,4977118.126860,614.000000,13.929106
0,474994.385857,4977163.209400,622.000000,15.512566
0,475026.465760,4977216.739600,630.000000,13.397361
0,475052.839784,4977263.738020,638.000000,13.356590
0,475085.271599,4977306.602700,646.000000,13.221014
0,475129.327864,4977336.536130,654.000000,12.455864
0,475176.724039,4977353.126350,662.000000,12.729703
0,475221.862425,4977377.501810,670.000000,13.096050
0,475274.644406,4977379.408270,678.000000,14.201552
0,475316.043807,4977395.800510,684.000000,14.282374
0,475357.445562,4977412.859540,690.000000,13.293116
0,475394.829138,4977431.267350,696.000000,12.541868
0,475443.475390,4977445.077520,704.000000,12.595920
0,475488.764334,4977468.010140,712.000000,12.930304
0,475540.903362,4977467.032960,720.000000,11.913318
0,475585.404295,4977448.977810,728.000000,12.052617
0,475629.184096,4977427.926340,736.000000,12.483456
0,475675.891771,4977409.196890,744.000000,12.699238
0,475720.763031,4977384.587090,752.000000,11.063877
0,475759.649910,4977362.777480,760.000000,11.264912
0,475797.657971,4977337.972060,768.000000,4.354944
0,475771.798796,4977383.727080,794.000000,9.194025
0,475816.630828,4977390.333820,804.000000,11.099585
0,475857.424223,4977371.961320,812.000000,10.663459
0,475899.588187,4977403.240230,822.000000,11.300646
0,475921.552581,4977454.257970,832.000000,11.598845
0,475930.441689,4977510.546100,842.000000,1.855763
0,475969.015057,4977489.294370,894.000000,12.675364
0,476020.041677,4977486.214610,902.000000,12.447468
0,476070.037459,4977481.694970,910.000000,12.985891
0,476122.161086,4977476.612340,918.000000,13.127543
0,476163.249804,4977473.904090,924.000000,12.781136
0,476203.318028,4977472.532950,930.000000,13.166246
0,476244.567045,4977470.491150,936.000000,13.077373
0,476285.587671,4977470.672220,942.000000,13.434698
0,476327.706907,4977469.294260,948.000000,13.128006
0,476368.882429,4977468.697680,954.000000,13.404289
0,476410.928542,4977468.875760,960.000000,12.656493
0,476461.963278,4977467.910170,968.000000,13.357398
0,476503.854070,4977468.755970,974.000000,13.175159
0,476556.950776,4977470.782930,982.000000,13.382532
0,476598.920416,4977471.629060,988.000000,13.709362
0,476641.915527,4977472.471720,994.000000,13.982980
0,476685.776318,4977472.756070,1000.000000,15.299239
0,476733.731362,4977470.915170,1006.000000,14.086484
0,476777.902447,4977469.754890,1012.000000,14.691604
0,476823.974796,4977470.809780,1018.000000,13.705816
0,476866.967060,4977470.876340,1024.000000,13.706046
0,476909.959722,4977471.054290,1030.000000,14.045256
0,476953.909385,4977474.117360,1036.000000,13.433699
0,476996.029109,4977472.854880,1042.000000,13.483979
0,477038.306614,4977471.592120,1048.000000,13.102850
0,477079.403270,4977471.000390,1054.000000,13.735376
0,477122.469634,4977469.735360,1060.000000,13.710237
0,477165.465060,4977470.692620,1066.000000,13.706368
0,477208.454930,4977470.094970,1072.000000,13.458844
0,477250.653602,4977468.833890,1078.000000,13.167618
0,477291.819311,4977465.466090,1084.000000,13.404619
0,477333.862621,4977464.872640,1090.000000,13.407679
0,477375.911043,4977465.723580,1096.000000,13.641376
0,477418.597970,4977468.683220,1102.000000,13.432633
0,477460.424574,4977473.756840,1108.000000,13.077696
0,477501.442353,4977473.168100,1114.000000,13.433696
0,477543.562165,4977471.909230,1120.000000,13.404603
0,477585.605444,4977471.317440,1126.000000,13.731187
0,477628.676931,4977471.499930,1132.000000,13.731187
0,477671.746088,4977471.016200,1138.000000,13.383422
0,477713.708173,4977469.759000,1144.000000,13.080838
0,477754.731011,4977470.616010,1150.000000,12.800349
0,477794.883035,4977470.587610,1156.000000,13.167726
0,477847.966930,4977469.070520,1164.000000,13.458842
0,477890.165704,4977467.813660,1170.000000,13.103285
0,477931.262042,4977467.116320,1176.000000,13.077367
0,477972.282563,4977467.308210,1182.000000,13.429756
0,478014.404775,4977466.718950,1188.000000,13.731194
0,478057.473975,4977466.237820,1194.000000,13.036838
0,478098.266970,4977469.097400,1200.000000,12.803456
0,478138.421647,4977469.848750,1206.000000,13.848240
0,478194.271829,4977469.880310,1214.000000,13.709354
0,478237.266664,4977470.733700,1220.000000,13.734493
0,478280.340369,4977471.587100,1226.000000,13.731182
0,478323.409544,4977471.107760,1232.000000,13.479710
0,478365.692144,4977471.297890,1238.000000,13.349271
0,478407.508189,4977473.489450,1244.000000,13.767657
0,478450.651373,4977471.566580,1250.000000,14.067792
0,478494.741555,4977469.751900,1256.000000,14.359864
0,478539.782833,4977469.267380,1262.000000,14.058098
0,478583.879746,4977469.452870,1268.000000,13.710229
0,478626.867463,4977468.198230,1274.000000,14.007806
0,478670.804388,4977467.718320,1280.000000,13.382523
0,478712.773669,4977468.578320,1286.000000,13.102265
0,478753.872637,4977468.663870,1292.000000,13.077697
0,478794.890510,4977468.083430,1298.000000,13.098196
0,478835.917576,4977470.280400,1304.000000,13.080829
0,478876.940211,4977471.144610,1310.000000,13.077111
0,478917.960270,4977471.231470,1316.000000,13.433690
1,476270.565195,4977227.445500,1320.000000,9.501908
0,478960.080309,4977469.981930,1322.000000,13.404597
0,479002.123667,4977469.399440,1328.000000,3.182669
1,476271.195712,4977291.096500,1334.000000,10.485507
1,476271.894807,4977351.970050,1346.000000,5.001054
0,479047.912022,4977480.246980,1360.000000,7.841925
1,476269.261807,4977407.745930,1370.000000,12.567990
0,479075.273885,4977525.147890,1374.000000,13.522674
1,476277.613853,4977468.924380,1380.000000,12.125501
0,479074.939000,4977591.579340,1384.000000,14.067638
1,476326.452582,4977471.409570,1388.000000,12.756004
0,479074.808431,4977648.123350,1392.000000,14.652518
1,476366.441966,4977470.039750,1394.000000,13.102520
0,479076.499750,4977706.994230,1400.000000,14.593172
1,476407.541470,4977470.221310,1400.000000,12.778324
1,476447.617529,4977470.962340,1406.000000,13.098207
0,479077.243760,4977765.646050,1408.000000,14.152020
1,476488.645486,4977473.144270,1412.000000,14.008126
0,479086.183183,4977821.827140,1416.000000,11.629565
1,476532.585170,4977473.427280,1418.000000,13.706043
0,479125.469782,4977847.360050,1424.000000,12.889139
1,476575.577840,4977473.602980,1424.000000,13.077123
0,479165.849512,4977845.339920,1430.000000,11.098764
1,476616.598016,4977473.675090,1430.000000,13.415903
1,476658.649346,4977475.298920,1436.000000,13.404603
0,479187.073862,4977895.593510,1440.000000,13.101969
1,476700.692562,4977474.701310,1442.000000,14.696065
1,476746.754394,4977472.867400,1448.000000,13.408564
0,479184.837951,4977959.920510,1450.000000,12.937861
1,476788.795212,4977471.603850,1454.000000,13.741118
0,479183.546078,4978023.466840,1460.000000,11.289745
1,476831.871586,4977473.114020,1460.000000,13.706042
1,476874.864235,4977473.291720,1466.000000,13.382524
0,479223.685341,4978044.887330,1468.000000,10.766168
1,476916.833802,4977474.139940,1472.000000,14.382707
0,479263.025491,4978063.200210,1476.000000,7.030202
1,476961.885406,4977476.532560,1478.000000,13.767661
1,477005.028203,4977474.599930,1484.000000,14.058412
0,479303.959824,4978086.729290,1490.000000,10.016266
1,477049.125595,4977474.885930,1490.000000,14.032950
1,477093.141313,4977474.394910,1496.000000,14.069188
0,479344.045189,4978091.709740,1498.000000,11.577749
1,477137.230758,4977472.459780,1502.000000,13.986767
1,477181.093879,4977473.414050,1508.000000,14.094317
1,477225.262236,4977471.479250,1514.000000,13.467705
1,477267.458138,4977469.440680,1520.000000,14.664011
1,477313.444015,4977468.388730,1526.000000,14.359877
1,477358.485270,4977467.895900,1532.000000,14.011061
1,477402.419807,4977466.740770,1538.000000,14.363129
1,477447.318190,4977470.470400,1544.000000,14.062503
1,477491.269918,4977474.203680,1550.000000,14.737370
1,477537.497117,4977474.485540,1556.000000,14.711708
1,477583.643091,4977474.101500,1562.000000,14.058094
1,477627.740043,4977474.280400,1568.000000,14.061328
1,477671.832338,4977473.126570,1574.000000,12.781127
1,477711.900822,4977471.764880,1580.000000,12.693380
1,477763.007588,4977468.809840,1588.000000,12.753175
1,477803.004553,4977469.559630,1594.000000,12.751244
1,477842.996507,4977468.865560,1600.000000,13.417461
1,477885.034827,4977466.831610,1606.000000,13.432814
1,477927.155122,4977465.686350,1612.000000,13.709365
1,477970.150033,4977466.537930,1618.000000,14.058108
1,478014.247008,4977466.719500,1624.000000,14.032961
1,478058.262809,4977466.235120,1630.000000,13.379465
1,478100.227265,4977465.646970,1636.000000,13.727908
1,478143.227080,4977467.943840,1642.000000,14.045254
1,478187.176113,4977471.015380,1648.000000,14.988335
1,478234.189835,4977470.633080,1654.000000,14.993261
1,478281.208463,4977471.695240,1660.000000,15.948574
1,478331.224639,4977472.747590,1666.000000,16.899524
1,478384.165109,4977475.456770,1672.000000,14.061320
1,478428.257496,4977474.308150,1678.000000,14.430947
1,478473.449404,4977471.712000,1684.000000,14.363026
1,478518.488429,4977470.560810,1690.000000,14.385010
1,478563.608585,4977470.076200,1696.000000,14.691589
1,478609.680546,4977471.143950,1702.000000,14.389002
1,478654.798106,4977469.882370,1708.000000,14.008117
1,478698.737609,4977470.180270,1714.000000,14.037040
1,478742.758205,4977471.144720,1720.000000,13.381713
1,478784.727082,4977471.894100,1726.000000,13.709345
1,478827.721798,4977472.751450,1732.000000,14.069174
1,478871.823435,4977474.383050,1738.000000,14.032713
1,478915.839574,4977474.015650,1744.000000,14.446093
1,478961.112734,4977472.089200,1750.000000,14.083236
